area_type,availability,location,bhk,total_sqft,bath,balcony,price,price_per_sqft
Built-up  Area,18-Dec,Kanakpura Road,4,2250,4,1,110,4888.89
Super built-up  Area,Ready To Move,Pattandur Agrahara,3,1550,2,3,80,5161.29
Plot  Area,Ready To Move,Bellandur,4,1200,5,0,325,27083.33
Plot  Area,Ready To Move,Ejipura,7,1800,7,1,250,13888.89
Super built-up  Area,Ready To Move,Marathahalli,2,1200,2,2,60,5000
Super built-up  Area,Ready To Move,Yelahanka,2,1327,2,2,98,7385.08
Super built-up  Area,Ready To Move,Kothanur,2,1186,2,2,58,4890.39
Built-up  Area,Ready To Move,MS Pallya,3,1783,3,1,115,6449.8
Super built-up  Area,Ready To Move,HSR Layout,3,1400,3,2,56,4000
Super built-up  Area,Ready To Move,Nagasandra,2,980,2,1,48,4897.96
Super built-up  Area,Ready To Move,EPIP Zone,2,1285,2,2,82,6381.32
Super built-up  Area,Ready To Move,Langford Town,3,912,2,1,70,7675.44
Built-up  Area,Ready To Move,Whitefield,2,1225,2,2,47.6,3885.71
Super built-up  Area,Ready To Move,Whitefield,2,1075,2,1,53,4930.23
Built-up  Area,Ready To Move,Kadugodi,3,1260,2,2,54,4285.71
Super built-up  Area,Ready To Move,Yelahanka,3,1282,2,2,48.7,3798.75
Super built-up  Area,Ready To Move,Kogilu,3,1909,3,2,88,4609.74
Super built-up  Area,Ready To Move,Panathur,2,1359,2,1,87,6401.77
Built-up  Area,Ready To Move,Nagondanahalli,2,1207,2,2,43.5,3603.98
Plot  Area,Ready To Move,Padmanabhanagar,4,1736,6,0,190,10944.7
Super built-up  Area,20-May,1st Block Jayanagar,4,2850,4,1,428,15017.54
Super built-up  Area,Ready To Move,Kammasandra,3,1595,3,2,65,4075.24
Built-up  Area,18-Jun,"Off Sarjapur Road,",3,1798,3,2,89,4949.94
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,1475,3,2,78.29,5307.8
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3,1580,3,3,100,6329.11
Super built-up  Area,Ready To Move,Dasarahalli,2,1295,2,1,65,5019.31
Built-up  Area,Ready To Move,Magadi Road,6,3600,6,0,141,3916.67
Super built-up  Area,Ready To Move,Electronic City,1,589,1,1,27,4584.04
Super built-up  Area,Ready To Move,Ngef Layout,3,1415,3,3,78,5512.37
Super built-up  Area,18-Dec,Sarjapur  Road,3,1787,3,2,98.29,5500.28
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1787,3,2,125,6994.96
Super built-up  Area,Ready To Move,Koramangala,3,1475,2,3,90,6101.69
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4,2000,4,1,75.5,3775
Super built-up  Area,19-Mar,Sarjapur  Road,2,984,2,1,44.28,4500
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3,2405,4,2,260,10810.81
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,1080,2,2,72,6666.67
Plot  Area,Ready To Move,Shantiniketan Layout,2,1500,2,1,115,7666.67
Super built-up  Area,Ready To Move,Hebbal,3,1900,3,2,119,6263.16
Super built-up  Area,19-Aug,Dommasandra,2,805,2,1,22.14,2750.31
Super built-up  Area,Ready To Move,Budigere,2,1153,2,2,56.4,4891.59
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2,1148,2,2,60,5226.48
Super built-up  Area,Ready To Move,Mylasandra,2,1110,2,2,55,4954.95
Built-up  Area,Ready To Move,Electronic City,2,1100,2,2,42,3818.18
Super built-up  Area,Ready To Move,Kalyan nagar,2,1290,2,2,110,8527.13
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3,1500,2,1,65,4333.33
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2,1080,2,2,39,3611.11
Super built-up  Area,21-Jun,Vijayanagar,3,1933,3,1,129,6673.56
Built-up  Area,Ready To Move,Ramamurthy Nagar,5,3500,5,2,150,4285.71
Built-up  Area,Ready To Move,Kullappa Colony,2,1060,2,2,60,5660.38
Super built-up  Area,18-Aug,Chandapura,1,645,1,1,16.45,2550.39
Plot  Area,Ready To Move,Mukkutam Nagar,8,2600,8,2,180,6923.08
Super built-up  Area,18-Sep,Chandapura,1,645,1,1,16.45,2550.39
Super built-up  Area,Ready To Move,Ashwath Nagar,3,1644,3,3,84,5109.49
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2,1285,2,3,72.5,5642.02
Plot  Area,Ready To Move,Electronic City,3,1200,3,1,90,7500
Super built-up  Area,Ready To Move,Electronic City,2,910,2,1,40,4395.6
Super built-up  Area,Ready To Move,Kothanur,3,1577,3,1,70,4438.81
Plot  Area,17-May,Meenakunte,3,4050,3,2,280,6913.58
Super built-up  Area,Ready To Move,OMBR Layout,3,2420,3,2,185,7644.63
Super built-up  Area,Ready To Move,Chandapura,2,800,1,1,20,2500
Built-up  Area,Ready To Move,Anand Nagar,2,1060,2,2,55,5188.68
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1270,2,2,93,7322.83
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2,900,2,2,22.5,2500
Built-up  Area,Ready To Move,Kundalahalli Colony,2,1280,2,1,69,5390.62
Plot  Area,Ready To Move,Horamavu Agara,4,1200,2,0,95,7916.67
Built-up  Area,Ready To Move,Sarjapur  Road,2,1025,2,2,36,3512.2
Super built-up  Area,17-Jun,Electronic City,2,1108,2,1,63,5685.92
Plot  Area,Ready To Move,MCECHS  layout,5,1200,5,0,170,14166.67
Super built-up  Area,Ready To Move,Coffee Board Layout,3,3045,3,2,170,5582.92
Plot  Area,Ready To Move,Ambedkar Nagar,4,2900,3,2,300,10344.83
Super built-up  Area,Ready To Move,Vijayanagar,3,1500,3,2,75.5,5033.33
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1295,2,2,43.9,3389.96
Super built-up  Area,Ready To Move,Budigere,2,1162,2,1,59.9,5154.91
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1035,2,2,49.2,4753.62
Built-up  Area,Ready To Move,Attibele,4,1600,4,0,52.8,3300
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,1464,3,2,46,3142.08
Super built-up  Area,18-Oct,Hennur Road,3,1866,2,2,61.58,3300.11
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2,700,1,1,26,3714.29
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1804,3,2,120,6651.88
Super built-up  Area,Ready To Move,Sarjapur,2,913,2,1,32,3504.93
Super built-up  Area,21-Dec,Talaghattapura,3,1868,3,2,131,7012.85
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,883,2,1,45,5096.26
Plot  Area,Ready To Move,Sundara Nagar,2,900,2,1,110,12222.22
Super built-up  Area,Ready To Move,Kogilu,3,1664,2,3,73.95,4444.11
Super built-up  Area,Ready To Move,Hegde Nagar,3,2026,3,2,132,6515.3
Super built-up  Area,Ready To Move,Balagere,2,1210,2,1,80.9,6685.95
Plot  Area,Ready To Move,Meenakunte,4,4111,4,2,250,6081.25
Super built-up  Area,Ready To Move,Kadugodi,3,1762,3,3,91.45,5190.12
Super built-up  Area,Ready To Move,Jigani,3,1252,3,3,55,4392.97
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,861,2,1,34.5,4006.97
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,1420,2,1,100,7042.25
Plot  Area,Ready To Move,Srirampura,6,1450,6,0,250,17241.38
Built-up  Area,Ready To Move,Electronics City Phase 1,3,1490,3,1,78.8,5288.59
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1075,2,1,46,4279.07
Super built-up  Area,18-Aug,Old Madras Road,3,1425,2,2,94,6596.49
Built-up  Area,Ready To Move,Kalena Agrahara,2,1200,2,1,40,3333.33
Super built-up  Area,Ready To Move,Kaggadasapura,3,1280,2,2,56,4375
Super built-up  Area,Ready To Move,Silver Springs Layout,2,1084,2,2,50,4612.55
Super built-up  Area,18-Jul,Chandapura,2,1015,2,2,25.88,2549.75
Super built-up  Area,21-May,Kanakpura Road,2,1017,2,1,51.25,5039.33
Super built-up  Area,Ready To Move,Haralur Road,2,1027,2,2,44,4284.32
Super built-up  Area,Ready To Move,Electronic City Phase II,2,1069,2,2,45,4209.54
Super built-up  Area,Ready To Move,Hebbal,2,1349,2,1,98.2,7279.47
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,1005,2,1,50,4975.12
Super built-up  Area,Ready To Move,Jakkur,2,1417,2,3,75,5292.87
Plot  Area,18-Jan,TC Palaya,3,1475,3,1,98,6644.07
Carpet  Area,Ready To Move,Maruthi Sevanagar,2,950,2,2,47,4947.37
Super built-up  Area,Ready To Move,RMV 2nd Stage,4,2000,4,0,120,6000
Plot  Area,Ready To Move,Giri Nagar,3,880,3,1,140,15909.09
Super built-up  Area,Ready To Move,Sarjapur  Road,4,1863,3,2,104,5582.39
Super built-up  Area,Ready To Move,Singasandra,2,1010,2,1,29.5,2920.79
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1425,2,1,70,4912.28
Super built-up  Area,Ready To Move,Vijayanagar,3,1450,3,0,100,6896.55
Super built-up  Area,Ready To Move,Kothanur,3,1847,3,2,105,5684.89
Super built-up  Area,Ready To Move,AECS Layout,2,1100,2,3,45,4090.91
Super built-up  Area,20-Dec,Kanakpura Road,1,525,1,1,26,4952.38
Super built-up  Area,Ready To Move,Mallasandra,3,1665,3,2,95,5705.71
Super built-up  Area,Ready To Move,Begur,4,1664,4,3,65,3906.25
Super built-up  Area,Ready To Move,JP Nagar,3,1850,3,3,150,8108.11
Super built-up  Area,Ready To Move,Panathur,2,1438,2,3,100,6954.1
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3,1560,3,3,115,7371.79
Super built-up  Area,18-Apr,Yelahanka,2,1350,2,1,55.55,4114.81
Super built-up  Area,Ready To Move,Kanakpura Road,3,1550,3,3,67,4322.58
Super built-up  Area,18-Apr,Malleshpalya,2,1140,2,2,46.5,4078.95
Plot  Area,Ready To Move,Srirampura,5,1200,5,2,180,15000
Super built-up  Area,18-Dec,Kodathi,2,850,2,2,27,3176.47
Super built-up  Area,Ready To Move,Whitefield,2,1280,2,2,75,5859.38
Built-up  Area,Ready To Move,Munnekollal,2,1170,2,2,52,4444.44
Super built-up  Area,Ready To Move,Motappa Layout,2,1113,2,1,51,4582.21
Super built-up  Area,Ready To Move,Hennur Road,2,1385,2,1,83.09,5999.28
Super built-up  Area,18-Apr,Electronic City,2,1128,2,1,65,5762.41
Plot  Area,Ready To Move,Marathahalli,2,1200,2,2,128,10666.67
Plot  Area,Ready To Move,Akshaya Vana,4,1200,4,3,165,13750
Super built-up  Area,Ready To Move,Rajaji Nagar,3,2390,3,2,415,17364.02
Plot  Area,Ready To Move,Giri Nagar,4,2400,4,1,400,16666.67
Super built-up  Area,Ready To Move,Haralur Road,3,1464,3,2,56,3825.14
Super built-up  Area,Ready To Move,Manayata Tech Park,2,1200,2,2,55,4583.33
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,1200,2,2,52,4333.33
Super built-up  Area,Ready To Move,Kaggalipura,3,1150,2,1,55,4782.61
Built-up  Area,Ready To Move,Basavanna Nagar,3,1645,3,2,95,5775.08
Super built-up  Area,20-Mar,Sarjapur  Road,2,1000,2,1,67,6700
Plot  Area,Ready To Move,Haralur Road,4,2650,4,2,198,7471.7
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,1192,2,2,74,6208.05
Super built-up  Area,Ready To Move,Ulsoor,3,2135,3,2,215,10070.26
Super built-up  Area,19-Dec,Whitefield,2,1173,2,1,58,4944.59
Built-up  Area,Ready To Move,Uttarahalli,2,1020,2,2,45,4411.76
Super built-up  Area,Ready To Move,Thigalarapalya,4,3122,6,2,230,7367.07
Super built-up  Area,Ready To Move,Somasundara Palya,3,1600,3,3,64,4000
Plot  Area,18-Mar,T.C PALYA,2,1200,2,0,79,6583.33
Carpet  Area,Ready To Move,Muneshwara Nagar,2,1230,2,3,48,3902.44
Super built-up  Area,Ready To Move,Devarachikkanahalli,2,1250,2,2,40,3200
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1325,2,2,76,5735.85
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,1850,3,1,150,8108.11
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2,1200,2,2,65,5416.67
Plot  Area,Ready To Move,Bull Temple Road,3,1350,2,0,140,10370.37
Super built-up  Area,18-Jun,Bommasandra,3,1260,3,1,49.36,3917.46
Super built-up  Area,Ready To Move,Prashanth Nagar,3,1800,3,0,150,8333.33
Built-up  Area,Ready To Move,Ardendale,2,1100,2,1,43.25,3931.82
Super built-up  Area,Ready To Move,Harlur,2,1508,2,1,77,5106.1
Carpet  Area,Ready To Move,Sampigehalli,3,1592,3,2,75,4711.06
Super built-up  Area,Ready To Move,Akshaya Nagar,2,1388,2,3,57,4106.63
